time,temperature_2m_max,temperature_2m_min,temperature_2m_mean,precipitation_probability_max,rain_sum,wind_speed_10m_max,wind_direction_10m_dominant
2019-07-10,20.7,9.1,13.4,,0.0,8.9,23
2019-07-11,21.1,7.1,13.9,,0.0,13.0,302
2019-07-12,22.0,7.6,14.1,,0.0,11.3,309
2019-07-13,23.9,11.1,16.3,,0.0,15.2,308
2019-07-14,24.6,11.5,17.2,,0.0,14.3,312
2019-07-15,21.3,12.1,16.6,,0.0,12.6,156
2019-07-16,16.9,8.9,13.8,,8.5,24.9,202
2019-07-17,15.9,7.5,10.8,,0.1,17.8,109
2019-07-18,18.5,8.0,12.2,,0.0,19.1,97
2019-07-19,20.5,9.7,13.5,,0.0,20.3,71
2019-07-20,20.8,10.3,14.4,,0.0,10.9,77
2019-07-21,22.6,9.8,15.3,,0.0,13.3,41
2019-07-22,24.4,12.9,17.6,,0.0,15.0,14
2019-07-23,24.2,12.3,18.0,,0.0,12.0,352
2019-07-24,24.4,11.2,17.4,,0.0,9.1,317
2019-07-25,24.0,12.9,17.4,,0.0,21.3,95
2019-07-26,25.3,14.5,18.3,,0.0,17.0,77
2019-07-27,24.9,11.6,17.6,,0.0,12.7,93
2019-07-28,21.2,15.0,16.9,,0.3,20.3,161
2019-07-29,22.6,13.5,16.4,,0.0,17.5,103
2019-07-30,24.4,12.5,17.1,,1.6,19.1,348
2019-07-31,23.1,10.7,15.8,,0.0,13.2,254
2019-08-01,26.5,12.2,18.0,,0.0,21.7,12
2019-08-02,27.6,13.6,18.5,,0.7,23.9,78
2019-08-03,13.9,10.4,11.8,,2.3,19.5,160
2019-08-04,11.8,9.0,10.5,,4.2,21.9,143
2019-08-05,17.4,9.5,12.4,,0.4,21.7,107
2019-08-06,23.7,11.3,15.8,,0.0,15.1,76
2019-08-07,25.1,12.3,18.0,,0.0,12.7,43
2019-08-08,25.2,12.6,18.8,,0.1,10.5,44
2019-08-09,27.1,13.5,19.8,,0.0,9.7,42
2019-08-10,27.6,14.8,20.6,,0.0,17.4,335
2019-08-11,22.8,14.9,18.1,,0.0,16.3,149
2019-08-12,29.0,15.5,20.8,,0.0,14.8,43
2019-08-13,20.7,13.8,17.6,,0.2,22.7,169
2019-08-14,13.3,9.6,11.9,,0.3,25.0,151
2019-08-15,19.9,9.2,13.1,,0.0,22.6,103
2019-08-16,22.9,9.3,14.5,,0.0,12.3,73
2019-08-17,25.7,9.6,17.2,,0.0,16.6,20
2019-08-18,27.1,15.4,20.4,,0.0,18.9,326
2019-08-19,19.6,13.7,16.0,,3.5,22.0,156
2019-08-20,15.6,13.5,14.4,,3.2,20.0,149
2019-08-21,18.0,13.7,15.0,,0.5,18.0,141
2019-08-22,17.4,11.9,14.2,,1.1,19.9,140
2019-08-23,20.7,12.8,14.8,,1.2,20.5,145
2019-08-24,17.8,11.7,13.7,,0.7,21.3,146
2019-08-25,19.0,11.5,14.0,,0.0,20.6,121
2019-08-26,22.6,11.8,15.6,,0.0,20.8,101
2019-08-27,24.1,12.9,16.1,,0.0,20.4,111
2019-08-28,21.9,13.8,16.3,,0.1,21.5,122
2019-08-29,24.3,12.7,16.9,,0.0,13.6,96
2019-08-30,27.7,12.4,19.3,,0.0,11.4,351
2019-08-31,29.8,13.9,21.8,,0.0,19.6,0
2019-09-01,21.7,14.8,17.8,,10.4,18.8,51
2019-09-02,20.7,14.4,16.9,,11.4,20.5,277
2019-09-03,21.9,14.1,17.1,,3.4,19.7,128
2019-09-04,20.6,15.1,16.9,,0.1,19.8,159
2019-09-05,14.6,12.4,13.7,,0.5,22.3,144
2019-09-06,21.2,11.9,14.7,,8.9,25.5,111
2019-09-07,28.0,13.5,19.3,,0.6,17.9,50
2019-09-08,29.7,16.4,22.4,,0.0,11.2,70
2019-09-09,31.1,15.6,22.8,,0.0,15.1,41
2019-09-10,30.8,17.2,23.6,,0.0,12.1,329
2019-09-11,31.9,16.0,23.6,,0.0,11.3,69
2019-09-12,33.7,17.8,24.7,,0.0,15.6,12
2019-09-13,22.9,16.5,18.1,,0.3,20.4,157
2019-09-14,25.6,16.2,18.8,,0.0,23.0,129
2019-09-15,31.2,16.9,21.8,,0.0,20.3,96
2019-09-16,32.6,17.1,24.4,,0.0,12.4,77
2019-09-17,33.7,16.8,25.0,,0.0,13.3,354
2019-09-18,34.6,19.7,25.6,,0.0,21.1,315
2019-09-19,33.4,16.1,21.7,,0.4,25.1,108
2019-09-20,28.9,16.5,21.7,,0.1,19.6,92
